date,views,watch_time_minutes,subscribers_gained,subscribers_lost,net_subscribers,estimated_revenue,views_7day_avg,subscribers_7day_avg,day_of_week
2025-12-15,15234,8520,125,12,113,45.67,15234,113,日
2025-12-16,12456,6789,98,8,90,37.89,13845,101,月
2025-12-17,14567,7890,105,10,95,42.34,14085,99,火
2025-12-18,18965,10234,145,15,130,56.78,15305,107,水
2025-12-19,16789,9012,132,11,121,49.23,15602,111,木
2025-12-20,22456,15678,198,18,180,67.89,17209,122,金
2025-12-21,19234,12345,167,14,153,58.45,17100,121,土
2025-12-22,17890,10567,142,13,129,53.67,17479,121,日
2025-12-23,20123,13456,178,16,162,61.23,18575,130,月
2025-12-24,18456,11234,156,14,142,55.89,19130,133,火
2025-12-25,24567,16789,212,19,193,73.45,20396,144,水
2025-12-26,21234,14567,189,17,172,64.12,20566,147,木
2025-12-27,19567,12890,167,15,152,59.34,20153,145,金
2025-12-28,18234,11567,154,13,141,55.23,20011,142,土
2025-12-29,22890,15234,198,18,180,68.90,20710,150,日
2025-12-30,26789,18901,245,21,224,80.45,21905,161,月
2025-12-31,23456,16234,211,19,192,70.67,22104,163,火
2026-01-01,20123,13678,178,16,162,60.89,21899,161,水
2026-01-02,21567,14890,189,17,172,65.23,22088,165,木
2026-01-03,19890,13234,172,15,157,60.12,21993,164,金
2026-01-04,18234,11890,162,14,148,55.67,21436,161,土
2026-01-05,20456,14123,181,16,165,62.34,20821,159,日
2026-01-06,22789,15678,201,18,183,68.90,20988,163,月
2026-01-07,21234,14567,189,17,172,64.56,20613,162,火
2026-01-08,19567,13123,173,15,158,59.23,20391,161,水
2026-01-09,23456,16234,209,19,190,71.23,20833,166,木
2026-01-10,25678,17890,234,20,214,77.89,21631,173,金
2026-01-11,22345,15456,198,18,180,67.45,22075,174,土
2026-01-12,20890,14234,185,16,169,63.12,22174,175,日
