date,views,watch_time_minutes,subscribers_gained,subscribers_lost,estimated_revenue,fetched_at
2025-12-15,15234,8520,125,12,45.67,2026-01-12 06:00:00
2025-12-16,12456,6789,98,8,37.89,2026-01-12 06:00:00
2025-12-17,14567,7890,105,10,42.34,2026-01-12 06:00:00
2025-12-18,18965,10234,145,15,56.78,2026-01-12 06:00:00
2025-12-19,16789,9012,132,11,49.23,2026-01-12 06:00:00
2025-12-20,22456,15678,198,18,67.89,2026-01-12 06:00:00
2025-12-21,19234,12345,167,14,58.45,2026-01-12 06:00:00
2025-12-22,17890,10567,142,13,53.67,2026-01-12 06:00:00
2025-12-23,20123,13456,178,16,61.23,2026-01-12 06:00:00
2025-12-24,18456,11234,156,14,55.89,2026-01-12 06:00:00
2025-12-25,24567,16789,212,19,73.45,2026-01-12 06:00:00
2025-12-26,21234,14567,189,17,64.12,2026-01-12 06:00:00
2025-12-27,19567,12890,167,15,59.34,2026-01-12 06:00:00
2025-12-28,18234,11567,154,13,55.23,2026-01-12 06:00:00
2025-12-29,22890,15234,198,18,68.90,2026-01-12 06:00:00
2025-12-30,26789,18901,245,21,80.45,2026-01-12 06:00:00
2025-12-31,23456,16234,211,19,70.67,2026-01-12 06:00:00
2026-01-01,20123,13678,178,16,60.89,2026-01-12 06:00:00
2026-01-02,21567,14890,189,17,65.23,2026-01-12 06:00:00
2026-01-03,19890,13234,172,15,60.12,2026-01-12 06:00:00
2026-01-04,18234,11890,162,14,55.67,2026-01-12 06:00:00
2026-01-05,20456,14123,181,16,62.34,2026-01-12 06:00:00
2026-01-06,22789,15678,201,18,68.90,2026-01-12 06:00:00
2026-01-07,21234,14567,189,17,64.56,2026-01-12 06:00:00
2026-01-08,19567,13123,173,15,59.23,2026-01-12 06:00:00
2026-01-09,23456,16234,209,19,71.23,2026-01-12 06:00:00
2026-01-10,25678,17890,234,20,77.89,2026-01-12 06:00:00
2026-01-11,22345,15456,198,18,67.45,2026-01-12 06:00:00
2026-01-12,20890,14234,185,16,63.12,2026-01-12 06:00:00
